,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,14.0,15.1,14.5,14.3,14.1,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
11,14.0,14.0,14.0,14.3,14.2,14.1,14.1,14.0,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.4,14.4,14.4
12,16.3,14.5,14.3,14.0,15.4,15.1,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2
13,24.5,15.8,14.8,14.5,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
14,61.6,20.3,17.0,15.4,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2
15,14.0,17.8,15.8,14.8,14.5,14.5,14.4,14.4,14.4,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2
16,14.8,14.2,14.0,15.4,14.8,14.8,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1
17,15.4,14.3,14.1,14.0,14.5,14.5,14.5,14.4,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2
18,14.0,14.0,18.9,16.3,15.4,15.1,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2
19,14.2,14.0,14.3,14.0,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2
20,15.1,14.3,14.0,14.5,14.3,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
21,14.0,15.4,14.6,14.4,14.2,14.2,14.1,14.1,14.2,14.2,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2
22,14.0,15.8,14.8,14.5,14.3,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2
23,14.0,14.0,14.5,14.2,14.0,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.2
