,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
16,3755.15,3706.6248933294914,3666.055295390697,3633.192504091967,3604.2285619931886,3579.0746085855303,3554.096205498212,3536.361324719771,3504.6577438512927,3494.1544279413624,3462.8327945385804,3452.454777094548,3431.7919577769476,3414.667855458026,3407.842164299966,3394.2321676587303,3384.060216891214,3380.6766826743233,3370.5479261387177,3363.8341608483665,3363.8341608483665
17,3725.44,3677.299034104197,3637.05063142702,3604.447965865975,3575.7132804703456,3550.758496727277,3525.977817460216,3508.383282649198,3476.9315580631005,3466.511490406754,3435.4421595487474,3425.1490700251165,3404.8253960967913,3387.8355228595146,3381.0633356013186,3367.5596906143905,3357.4673326321335,3354.1100702995013,3344.0596841783326,3337.4645020506605,3337.4645020506605
18,3615.238,3568.523887000937,3529.473083961742,3497.8404716446603,3469.959868429001,3445.7505252652327,3421.707976453045,3404.6419328072207,3374.136923477605,3364.0634578917607,3334.0324102681097,3339.531684095462,3436.056633944477,3439.2502621279386,3480.0655097709446,3466.18114763919,3455.804265000293,3456.6202497352924,3446.2775505838194,3453.449625651202,3453.449625651202
19,3410.382,3366.312936653902,3329.4710862050392,3299.62785739855,3273.32464195424,3250.482800398233,3227.79948651567,3211.6977497761427,3182.9120914295854,3173.4167258542816,3145.0967760148214,3142.989983884138,3221.02251294956,3235.6089333565737,3335.547029444794,3322.2459775395023,3312.305233980919,3323.158721746938,3313.228792134574,3385.7732501760975,3385.7732501760975
20,3585.415,3539.083270344843,3500.347454003938,3468.9700727299155,3441.315297122758,3417.2982582755812,3393.448835182275,3376.5156163274414,3346.245064526052,3336.2171799056946,3306.3130482734246,3296.404630155638,3276.6927057076678,3269.2163448610195,3301.0525241186424,3287.8868509971703,3278.0471876705624,3286.390604482892,3276.575595225313,3349.618994065458,3349.618994065458
21,3708.933,3661.005109666282,3620.934805881583,3588.476460507087,3559.868933432291,3535.0244906540106,3510.3534450896004,3492.8367562926373,3461.523215155551,3451.1490655792195,3420.212765534096,3409.962414425587,3389.5537990323905,3372.6403807176043,3365.9023006815496,3352.4654435689627,3342.422944435737,3340.1193944913016,3330.121658712098,3334.2662760493326,3334.2662760493326
22,3654.364,3607.1887552504973,3567.789065584296,3535.8626017984748,3508.051649397883,3483.8682976889504,3676.433025777207,3658.109748867015,3625.3543275842308,3614.4891789971207,3582.088729295728,3571.3532447529533,3549.9789593707105,3532.264783371917,3525.2039040109566,3511.1244172332385,3500.601717699714,3497.1011609820143,3486.620489161498,3479.651160590664,3479.651160590664
23,3209.596,3168.1709137571875,3133.654538915808,3105.6212262980393,3081.3072271967335,3060.3998932792174,3451.7263884528916,3434.7071690049775,3539.787595808732,3529.178857835308,3497.5430294391326,3487.0608984733635,3466.1908171872274,3448.8945302849625,3442.000238094923,3428.252971235509,3417.978565580487,3414.560608014907,3404.3272383861495,3397.5220761926157,3397.5220761926157
24,3220.957,3179.450878106157,3144.826748508803,3116.7551035895794,3091.956954537824,3070.8015178301966,3196.0790303075996,3180.743526849318,3547.539145183676,3536.9497661902356,3515.8802269850257,3599.0007813083284,3584.1675928766435,3571.906277078747,3564.7662863058667,3550.5289749332405,3539.9015974743616,3536.3618238768877,3525.7637665315074,3518.719490898211,3518.719490898211
25,3247.592,3205.7386304559436,3170.658363831521,3142.3553503917014,3117.331940960066,3095.586566521606,3083.711036671352,3068.7645743205644,3212.468189363757,3203.056110152735,3191.3982105180094,3344.6150458554725,3349.103092367382,3401.707802223819,3394.9103290561734,3381.3564395250796,3377.385292002782,3374.0097487107796,3364.0070668183293,3357.3279339217593,3357.3279339217593
