,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
10,2836.208,2825.7408157740415,3028.548823398579,3052.2281746733147,3034.305706516621,3656.9819765952793,3631.4597715141695,3602.5096588005263,3573.9933304647643,3531.340521480985,3478.7395876264372,3465.447372222615,3455.0615908146724,3427.517917620811,3420.6695456844873,3413.833578286664,3407.0096128196683,3396.8287026820153,3366.4744969739418,3363.1082984769673,3342.9817936797394,3425.5942195521475,3401.692042203793,3388.108510320708,3381.4094325145766,3378.031842082062,3374.65863323998,3371.2907196067404,3367.924669887134,3369.5092402172468,3366.144155977029,3362.782143821052,3362.782143821052
11,3021.919,2990.878825922839,2969.4050913749757,3011.69754596163,3111.382205513775,3324.588515235736,3312.619187513479,3286.2253749938855,3260.2555069419914,3221.380568510407,3355.449613923212,3342.627572565122,3332.6110630379667,3306.0732044320985,3299.622980748439,3293.098870473923,3286.5291812208457,3288.5532292790845,3362.4209783006822,3359.0708983223817,3339.0406769365854,3425.9861386506227,3402.0796627813443,3388.496543796086,3382.3863673250376,3379.008209957713,3375.6345497477555,3372.2665971980077,3368.8993266008097,3365.8396712742087,3362.479723602935,3359.122099879332,3359.122099879332
12,3079.671,3037.1311037461487,3037.2270632960476,3100.740835285636,3149.050830559634,3124.553721446972,3340.911861113004,3314.290943266158,3287.9911551213563,3248.775152829221,3334.828536868121,3322.4253110711297,3312.468760329678,3286.0921549123136,3279.6688938396437,3273.171066590858,3266.6386882807433,3266.61718273579,3306.989782215674,3304.802386433458,3384.7483120087813,3369.2455170597254,3345.7357338759634,3332.378755113176,3392.742022870705,3389.3552778478343,3385.9738215699867,3382.598119748417,3379.2213786286684,3375.8446822500396,3372.4753335677897,3369.1101062342223,3369.1101062342223
13,3183.785,3137.026815544044,3099.0167815511436,3065.721833808181,3051.6562106142933,3025.263165064328,3597.379598001249,3568.7011185325655,3540.288853749904,3498.0388661663224,3445.93123770793,3433.173345550674,3422.884130591888,3395.5982773557266,3388.810956159293,3382.0371428479307,3375.2767224633776,3365.1683813793366,3335.021630431119,3334.046197800688,3387.9900076744634,3371.0938936732146,3347.9559438649558,3334.588607811102,3424.0738455940877,3420.6563547484934,3417.242640393745,3413.8391007533514,3410.4292016525983,3407.0220144509453,3403.6238944364945,3400.2263365420577,3400.2263365420577
14,3468.214,3416.554049451757,3372.4788473811177,3335.56758367502,3305.8370558357183,3273.3214140531913,3282.7639338066137,3256.6090936581445,3232.410746229628,3210.934942244216,3179.013002780293,3170.2246962198883,3418.5406035971137,3391.2890742629625,3384.5116585175106,3377.746327558134,3371.021780858345,3360.925640390365,3330.817374195205,3329.76000682101,3354.575557488557,3337.8408975071284,3420.6758528532155,3407.017022769004,3410.0344192704883,3406.6331488512183,3403.2353477023667,3399.8462373546645,3396.4504881173098,3393.057631629192,3389.674045997563,3386.2921759515657,3386.2921759515657
15,3623.582,3569.6072810609608,3523.4798361819458,3484.9149114490247,3453.6759494576104,3419.4328963480857,3395.572916500782,3368.5061609844925,3341.98639816475,3302.3679830245655,3253.198407620644,3244.3792817084495,3339.773172344952,3313.1790062366485,3306.724223230182,3300.1396407219445,3297.5943367291416,3298.681446883697,3333.1462196929933,3331.5987424733007,3351.652181901464,3334.9333720659624,3428.421862848401,3414.730397717594,3408.5158737385564,3405.1159848648176,3401.717944879953,3398.331363935073,3394.9366315711377,3391.5458079395667,3388.1646261316273,3384.782392505496,3384.782392505496
16,3724.291,3668.815996075086,3621.406599566914,3581.7698612282625,3549.662692307487,3514.4028258225458,3489.87592290715,3462.0547318268477,3434.672228563568,3393.685497510004,3343.1412113070714,3331.2046861776553,3338.965999628874,3312.669359996838,3306.2530770232042,3299.6597571782354,3322.948319557636,3325.762457583907,3373.454134411831,3370.086931277419,3349.936727998747,3333.2278555381245,3435.2604125442513,3421.540100521075,3414.7025528041336,3411.296461251329,3407.8912817900778,3404.4986365082873,3401.096942871779,3397.7003219289077,3394.312728606979,3390.923257878372,3390.923257878372
17,3633.015,3578.900353169484,3532.6532857637667,3493.9885033728096,3462.668357331777,3428.3390589590736,3404.4145219034763,3377.275622426772,3350.6109398956896,3310.6254336325906,3266.9012603162823,3255.179097179753,3251.848367839152,3266.9342291415683,3260.582400186514,3254.076573926541,3424.761821462262,3414.5059467132933,3383.9194267798784,3380.535761353098,3360.439537986671,3343.6763851454857,3322.2676692747177,3409.3082648491068,3402.495334488673,3399.0998081541843,3395.7049813460303,3392.3264053646844,3388.9357579593197,3385.5517502013604,3382.178823451159,3378.799894627708,3378.799894627708
18,3562.365,3509.302374373575,3463.954839894916,3426.042706632631,3395.3354690403694,3361.805973834662,3338.344998833598,3311.7409009268476,3285.68350348013,3246.651964261506,3404.777295683715,3392.6394125056877,3382.527230195308,3355.5629768733775,3348.8580950376077,3342.164001568627,3386.6598245244913,3376.5112064381337,3346.2441277961916,3342.8987306683957,3378.2647659935897,3361.4104545120585,3337.9646067041344,3406.033943143441,3399.227788037097,3395.83450124906,3392.442870747811,3389.0683958770633,3385.6942304811864,3382.3139412507053,3378.9441053094542,3375.568070204145,3375.568070204145
19,3508.404,3456.1459671972852,3411.4868081174754,3374.155513201731,3343.9107613227175,3311.080520776491,3287.9836870656713,3261.7755397462306,3236.4905656499855,3219.2425923559904,3424.152584816478,3411.824210456925,3401.5993924635027,3374.4828078032488,3367.7401512024503,3361.008424447197,3354.441194855727,3344.3904127571313,3314.415728248457,3311.1790555202087,3376.5299432657184,3359.68326561489,3336.241850812489,3407.7879747459633,3400.9829849934463,3397.5863320084527,3394.1915906764443,3390.8188080857676,3387.593504277682,3384.2112807734043,3380.839780492631,3377.460988712138,3377.460988712138
20,3460.707,3409.1677473125865,3365.1258240308885,3328.298969690302,3298.4795684631977,3265.86582382699,3243.0801831702593,3286.6830865136667,3261.0018968788363,3252.7584672622957,3397.0297885007144,3384.792101182448,3374.6488229227275,3347.747512229164,3341.058145561218,3334.3835662292413,3329.075276569349,3322.550516851375,3304.7130842179063,3301.4775511336884,3369.3775516848755,3353.7258187115126,3330.3249691792817,3416.854746420395,3410.1638360563,3406.7571092202434,3403.3520681110235,3399.968830042912,3398.9470582128693,3395.5532091546565,3392.170267945502,3388.7792526775565,3388.7792526775565
21,3466.444,3414.8165215406893,3370.6982692372944,3333.811901163538,3303.9410915296958,3271.5154735400943,3248.6889312040976,3281.0490613235456,3255.500510956096,3528.7223352763026,3476.157006688851,3463.560077809451,3453.1799855917625,3425.6514322408157,3418.803972818767,3412.566695072102,3405.7461496606525,3395.5441869790625,3365.1180142569915,3361.7549662427346,3341.8192957961564,3424.092583113709,3400.1987152586894,3387.235812962829,3381.7347492447166,3378.3562224954717,3374.9930852729763,3371.6402471877036,3383.1047859405157,3379.726598154575,3376.3597535564204,3372.984191802864,3372.984191802864
22,3474.871,3423.1123074895927,3378.888896394566,3341.911764151023,3311.971394454509,3279.409428128607,3256.532706848141,3274.5761423936174,3249.4431905996194,3441.877644496943,3390.606216143772,3378.376231551211,3368.2516571840165,3341.4003405744684,3334.85119010666,3365.2991241436366,3358.5726867964736,3348.5085006350596,3318.4933649116015,3315.20017354669,3308.868176974393,3378.144844132608,3355.100441654765,3341.7043587659564,3352.3651210007833,3349.014929879783,3345.881555949903,3342.5599473939533,3387.8928564465596,3384.508619590113,3381.135600970523,3377.7687203695523,3377.7687203695523
23,3438.635,3387.424996419801,3343.6684715119018,3307.0839141400047,3277.468141540143,3245.2053390368505,3223.0515975472904,3245.333210086159,3273.1822464975953,3239.2865659075155,3276.1078030852177,3265.315050499442,3255.6288599991344,3260.1724706161162,3253.7653108573545,3428.130034260951,3421.279289278463,3411.0295809555073,3380.4610123850834,3377.0818293726984,3356.8941485087817,3341.775944425926,3414.126120740739,3400.492655505982,3394.095370437625,3390.7043760671877,3389.68752269112,3386.320614168429,3385.960916554261,3382.5776666377064,3379.206829971069,3383.434166141098,3383.434166141098
24,3400.911,3350.340517826295,3307.0924264175055,3271.000095484733,3241.7725467677865,3210.2537261528096,3188.191344508281,3220.8919339254503,3244.4487379051525,3231.345457318691,3281.1778581891513,3274.5671311145475,3266.073986530716,3268.129094964247,3261.6852702984133,3305.3914577320866,3300.51888632108,3293.6240311161914,3274.0518425280225,3270.812940685494,3273.0232089209558,3306.1103024819613,3368.6010610011404,3355.149858383473,3348.5845149805646,3345.3324084655837,3354.0851980571183,3350.754595859061,3347.864473263202,3344.519140789939,3341.1847186491486,3373.782752930499,3373.782752930499
25,3586.214,3532.795849686143,3487.144338148569,3448.977122370171,3418.0604621237353,3384.4668261500756,3360.846939553554,3334.055921323996,3308.0745372679644,3268.606336488612,3221.0993475676146,3221.190609170805,3233.8543061995765,3488.6480353630013,3481.674243932311,3474.7146289926905,3467.7686904413335,3457.3759400523645,3426.380765078556,3422.9555083134774,3402.4768736095557,3385.5162693881166,3363.053859626204,3349.6407765869963,3343.9503516695995,3342.3840103179296,3386.9859293076115,3383.6259663783044,3380.262711411926,3376.8841457005137,3373.5170115548135,3383.5864605432585,3383.5864605432585
26,3576.158,3522.8898766951856,3477.3668252466246,3439.30682296997,3408.477197697717,3374.944230856451,3351.3911028839448,3324.674454662079,3298.533704956205,3266.9673279237013,3218.3146389784033,3218.478774014665,3231.892134385537,3433.505922052791,3426.642401685607,3419.7928893516378,3412.9570292128237,3402.728852124469,3372.224497968794,3368.852620470825,3348.6925078592412,3331.985397970646,3325.529948368354,3338.671032514093,3344.367700690097,3352.1252839894073,3355.0174497054177,3351.6938102557124,3348.3438574454567,3345.020382588011,3341.683735205423,3390.7178604702176,3390.7178604702176
27,3529.593,3477.0197645028516,3432.090325523269,3394.5275894374777,3364.105867931237,3330.7809564213326,3307.54377825602,3281.1880754263943,3255.2587795552968,3386.1836027089753,3335.743158027182,3328.4870945648813,3319.498464906262,3300.1413368110043,3293.6301873407187,3299.186383478225,3304.935144892652,3326.105743738336,3421.795767316414,3418.374217549098,3397.9242229060346,3380.9735171214325,3357.7105126136034,3344.3167859037444,3338.2572696057227,3404.713662336117,3402.255757673781,3398.8825139161067,3395.485348402191,3392.6214250537887,3389.235004628735,3400.0635416241066,3400.0635416241066
28,3495.158,3443.0992534715083,3398.617526591647,3361.4345089030417,3331.313255246096,3298.4188092152767,3275.4142782078784,3249.3214260207355,3226.34408400091,3379.196945849182,3328.8606668657453,3317.699124470779,3307.859736048662,3281.6103887536788,3275.11381588756,3277.151073117601,3279.4868145164387,3300.0036155871103,3382.1357993510123,3378.755421551661,3359.01137674993,3342.2576907622783,3366.113332531404,3352.67112332625,3346.0854955407203,3360.3977300451797,3357.0898813151343,3353.7683494338194,3350.4794440843852,3350.554295640301,3347.2098793446607,3344.131258465316,3344.131258465316
