Arguments count: 1
Argument      0: ./run-monarch.py
----------------------------------------
2000 households, 0 dependent tasks, 10 fully flexible tasks, 0 semi-flexible tasks, 0 fixed tasks, 1 penalty weight. 
----------------------------------------
0. The community is created. 
0. Aggregator is created. 
162. Best step size 0.0, 9 iterations, cost 992522250.55, using ogsa_fw
163. Best step size 0.0, 6 iterations, cost 992522247.21, using ogsa_fw
164. Best step size 0.0, 6 iterations, cost 992522245.1, using ogsa_fw
165. Best step size 0.0, 3 iterations, cost 992522243.89, using ogsa_fw
166. Best step size 0.0, 4 iterations, cost 992522242.99, using ogsa_fw
167. Best step size 0.0, 4 iterations, cost 992522242.01, using ogsa_fw
168. Best step size 0.0, 3 iterations, cost 992522241.25, using ogsa_fw
169. Best step size 0.0, 2 iterations, cost 992522240.82, using ogsa_fw
170. Best step size 0.0, 2 iterations, cost 992522240.56, using ogsa_fw
171. Best step size 0.0, 4 iterations, cost 992522239.66, using ogsa_fw
172. Best step size 0.0, 3 iterations, cost 992522238.8, using ogsa_fw
173. Best step size 0.0, 1 iterations, cost 992522238.74, using ogsa_fw
174. Best step size 0.0, 3 iterations, cost 992522238.36, using ogsa_fw
175. Best step size 0.0, 1 iterations, cost 992522238.08, using ogsa_fw
176. Best step size 0.0, 1 iterations, cost 992522237.96, using ogsa_fw
177. Best step size 0.0, 2 iterations, cost 992522237.67, using ogsa_fw
178. Best step size 0, 0 iterations, cost 992522237.67, using ogsa_fw
Converged in 178
Data are written and graphs are painted. 
----------------------------------------
----------------------------------------
----------------------------------------
Experiment is finished. 
{0: {'no_households': 2000, 'penalty_weight': 1, 'no_dependent_tasks': 0, 'no_fully_flexible_tasks_min': 10, 'no_semi_flexible_tasks_min': 0, 'no_fixed_tasks_min': 0, 'algorithm': 'minizinc_fw', 'id': 0, 'init_PAR': 1.24, 'PAR': 1.17, 'init_max_demand': 1684352.0, 'max_demand': 1591158.34, 'total_demand': 65382402.0, 'demand_reduction': 0.06, 'cost_reduction': 0.07, 'pricing_time': 0.03754285714285714, 'rescheduling_time': 1647.0285714285715}, 1: {'no_households': 2000, 'penalty_weight': 1, 'no_dependent_tasks': 0, 'no_fully_flexible_tasks_min': 10, 'no_semi_flexible_tasks_min': 0, 'no_fixed_tasks_min': 0, 'algorithm': 'ogsa_fw', 'id': 0, 'init_PAR': 1.24, 'PAR': 1.03, 'init_max_demand': 1684352.0, 'max_demand': 1402253.38, 'total_demand': 65382402.0, 'demand_reduction': 0.17, 'cost_reduction': 0.11, 'pricing_time': 0.009784916201117318, 'rescheduling_time': 1.9788849162011173}}
----------------------------------------
2000 households, 3 dependent tasks, 10 fully flexible tasks, 0 semi-flexible tasks, 0 fixed tasks, 1 penalty weight. 
----------------------------------------
0. The community is read. 
0. Aggregator is read. 
slurmstepd: error: _is_a_lwp: open() /proc/1059/status failed: No such file or directory
1. Best step size 0.016, 68 iterations, cost 1084385982.88, using minizinc_fw
2. Best step size 0.017, 61 iterations, cost 1060990857.43, using minizinc_fw
3. Best step size 0.018, 65 iterations, cost 1045842275.09, using minizinc_fw
4. Best step size 0.005, 18 iterations, cost 1043038338.05, using minizinc_fw
5. Best step size 0, 0 iterations, cost 1043038338.05, using minizinc_fw
Converged in 5
Data are written and graphs are painted. 
0. The community is read. 
0. Aggregator is read. 
1. Best step size 0.015, 63 iterations, cost 1084782010.25, using ogsa_fw
2. Best step size 0.014, 51 iterations, cost 1062439482.47, using ogsa_fw
3. Best step size 0.014, 51 iterations, cost 1046620522.53, using ogsa_fw
4. Best step size 0.016, 63 iterations, cost 1030722406.02, using ogsa_fw
5. Best step size 0.007, 32 iterations, cost 1026110794.73, using ogsa_fw
6. Best step size 0.01, 40 iterations, cost 1018569238.07, using ogsa_fw
7. Best step size 0.015, 55 iterations, cost 1010577905.04, using ogsa_fw
8. Best step size 0.011, 44 iterations, cost 1005711476.6, using ogsa_fw
9. Best step size 0.007, 25 iterations, cost 1003400126.68, using ogsa_fw
10. Best step size 0.006, 18 iterations, cost 1001440637.9, using ogsa_fw
11. Best step size 0.007, 33 iterations, cost 999494948.68, using ogsa_fw
12. Best step size 0.007, 23 iterations, cost 997767335.31, using ogsa_fw
