,0,1,2,3,4,5,6,7
35,3886.726,3840.340958757135,3798.307794572819,3749.224977646228,3730.516307534266,3704.480903786404,3685.9955070502197,3685.9955070502197
36,3794.186,3748.905351430201,3707.8729650248224,3659.958772765468,3641.6955468980864,3616.2800263443232,3598.234757858152,3598.234757858152
37,3792.145,3746.8887091722117,3705.8784061935935,3657.9899881924753,3639.7365815897815,3614.334732723401,3596.299176261852,3596.299176261852
38,3707.144,3662.9021536328623,3622.811097334727,3575.9960987966483,3558.1518674716185,3533.319631485833,3515.688356159235,3515.688356159235
39,3636.815,3593.4124514880464,3554.082015203447,3508.155424840123,3490.649699196164,3466.2884166432536,3448.9917175688774,3448.9917175688774
40,3569.13,3526.5352430037337,3487.936744998037,3442.864695930082,3425.684821576065,3401.776917217494,3384.802325780435,3384.802325780435
41,3501.776,3459.9850365558887,3422.114941518616,3377.893408884138,3361.037996392378,3337.581425004945,3320.9276088365395,3320.9276088365395
42,3445.087,3403.972718736087,3366.716136492678,3323.210728544685,3307.4411206726877,3284.358596775883,3267.9702732321234,3267.9702732321234
43,3317.921,3278.3251214180286,3242.4458961796595,3200.7448687984397,3275.395399018312,3252.5363628156097,3236.306283636275,3236.306283636275
44,3201.299,3163.1933354734965,3128.87101378597,3091.9301541936316,3516.913396546575,3498.5456206063714,3485.3394762176094,3485.3394762176094
45,2954.406,2919.2392444347734,2888.620274935754,2870.684074794166,3009.820353451216,2998.831343983454,2985.49849963126,2985.49849963126
46,3059.853,3024.535228821147,2999.1928795999925,3210.3445087965456,3255.98862668292,3487.4911193456396,3671.8804611023625,3671.8804611023625
47,2880.234,2846.0638114346048,2817.1574803714893,2842.7489747015165,2842.6666945529482,2884.9833563544776,2950.044272553427,2950.044272553427
