,Unnamed: 0,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,init_max_demand,max_demand,total_demand,demand_reduction,cost_reduction,pricing_time,rescheduling_time,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
70,64,5000,1,3,10,0,0,minizinc_fw,23,1.22,1.11,4075016.0,3716666.96,160059619.0,0.09,0.09,0.03005333333333333,4781.366666666666,58.0,0.0,
71,65,5000,1,3,10,0,0,ogsa_fw,23,1.22,1.04,4075016.0,3475999.23,160059619.0,0.15,0.11,0.006862162162162164,4.638705405405406,59.0,1.0,
72,66,5000,1,6,10,0,0,minizinc_fw,24,1.21,1.13,4066352.0,3810322.23,161184526.0,0.06,0.09,0.01888333333333333,5749.814966666666,60.0,0.0,
73,67,5000,1,6,10,0,0,ogsa_fw,24,1.21,1.04,4066352.0,3485523.39,161184526.0,0.14,0.13,0.008808695652173914,4.434613043478262,61.0,1.0,
74,68,5000,1,3,10,0,0,minizinc_fw,13,1.24,1.16,4142552.0,3893392.96,161004077.0,0.06,0.07,0.017225,5550.3562375,62.0,0.0,
75,69,5000,1,3,10,0,0,ogsa_fw,13,1.24,1.08,4142552.0,3625327.89,161004077.0,0.12,0.1,0.006850000000000003,4.5555666666666665,63.0,1.0,
76,70,5000,1,1,10,0,0,minizinc_fw,22,1.2,1.13,4087782.0,3851031.99,162940010.0,0.06,0.1,0.017720000000000003,5096.5799799999995,64.0,0.0,
77,71,5000,1,1,10,0,0,ogsa_fw,22,1.2,1.04,4087782.0,3527353.88,162940010.0,0.14,0.12,0.006840740740740741,4.955996296296296,65.0,1.0,
78,72,5000,1,1,10,0,0,minizinc_fw,17,1.24,1.17,4147771.0,3941437.74,161104483.0,0.05,0.06,0.02004285714285714,4258.272857142857,66.0,0.0,
79,73,5000,1,1,10,0,0,ogsa_fw,17,1.24,1.09,4147771.0,3658842.94,161104483.0,0.12,0.09,0.007342307692307694,4.375403846153846,67.0,1.0,
80,74,5000,1,9,10,0,0,minizinc_fw,25,1.2,1.15,4037655.0,3852775.57,161131015.0,0.05,0.09,0.0188625,5839.737450000001,68.0,0.0,
81,75,5000,1,9,10,0,0,ogsa_fw,25,1.2,1.04,4037655.0,3489079.13,161131015.0,0.14,0.12,0.008004347826086956,4.9906826086956535,69.0,1.0,
82,76,5000,1,0,10,0,0,minizinc_fw,11,1.18,1.11,4066320.0,3795073.93,164724233.0,0.07,0.1,0.016554545454545454,5192.387254545455,70.0,0.0,
83,77,5000,1,0,10,0,0,ogsa_fw,11,1.18,1.05,4066320.0,3613509.19,164724233.0,0.11,0.13,0.00595,4.938350000000002,71.0,1.0,
84,78,5000,1,9,10,0,0,minizinc_fw,15,1.15,1.07,3854562.0,3613897.81,161455373.0,0.06,0.13,0.017116666666666662,5246.834975,72.0,0.0,
