,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
15,12.676,14.660020725388506,14.482827456515448,14.757317560420134,14.619579852162943,14.519824986361348,14.456135874943959,14.316332724470112,14.580670270914931,14.520105099817286,14.410345745303507,14.592657443714533,14.474002628536201,14.68404005698231,14.58545839211607,14.495725110852844,14.88730796878055,14.385539103159456,14.305515487144936,14.202911310500738,14.469138265182993,14.356674437439088,14.84029329111155,14.607891834289857,14.519951416887354,14.472205479670283,14.38277508464428,14.58478803441027,14.52242730365188,14.403640464115043,14.675698267307927,14.57718158335834,14.481148767484994,14.637778176144502,14.535562972344069,14.710472012665411,14.672522111271208,14.620192479085851,14.5844612239701,14.66162478451907,14.619350474644524,14.605002637446946,14.589029458043035,14.558953004491354,14.632219458753454,14.623739616040378,14.61515526256161,14.60198555928741,14.59200776285036,14.59836874385329,14.619420743959331,14.612608117999358,14.60615561059798,14.602037265195355,14.56692775403904,14.636778612983875,14.627094023526956,14.610059961293368,14.590360900148575,14.577743557029464,14.56946229116988,14.565153901381644,14.561227928290078,14.559088550651346,14.559088550651346
16,17.082,15.336061761658115,14.920406619283622,14.667117490189666,14.826929903699744,14.61419003307367,14.699432735121373,14.886547895561794,14.653040003038194,14.730276667069633,14.87024896856319,14.706592010472402,14.853646768167803,14.663250753384165,14.781995559692307,14.890082201538469,14.530319328183946,14.686245024917321,14.798390442262017,14.942180348094121,14.70943784888325,14.858242559738983,14.430276823401197,14.50575969832441,14.623031091803737,14.686701844749956,14.805960171624893,14.628450383789747,14.708608653990824,14.861296851581333,14.617948643550761,14.739342042088662,14.857674789626078,14.715334278484967,14.838645477474644,14.678521051787701,14.72335420187277,14.785175238752219,14.82738733060174,14.756170568989686,14.80568789716188,14.775242538296324,14.794343730830652,14.830310028805107,14.763024484224173,14.773076806084719,14.783253018905295,14.798864876412512,14.810692928492957,14.804835974266432,14.785452077200702,14.793502584043246,14.801127537371311,14.792338613896325,14.83407658721193,14.769756013000398,14.781176544410748,14.801263925878997,14.759307816155715,14.774616426063787,14.784664077728058,14.789891442790369,14.794654822053419,14.797250526823293,14.797250526823293
17,8.977,8.977,9.548585218982783,9.514427023386252,9.4788611068897,9.781584997089846,9.753793149217376,9.692787620900326,9.653034938090517,9.631538213792002,9.592580731456787,9.568526748342196,9.53190700847801,9.506580779086798,9.4805818182085,9.456916443189634,9.415886798258063,9.389067717578675,9.369778805881626,9.345047070406446,9.324939894654614,9.303117454557572,9.269698156091092,9.261366329261861,9.24842187075407,9.241393870188718,9.228230093259494,9.217416264149518,9.20956178599464,9.194600309038194,9.181930080731412,9.171834041581285,9.161992550476588,9.155686519590862,9.146376354334429,9.139851551675717,9.136813810045695,9.132625027036172,9.12976487938966,9.12714041534552,9.123943898817073,9.170110471495375,9.168511412921744,9.165500490067869,9.162443014122262,9.16163915360193,9.160825385813112,9.15957694231188,9.15863108082517,9.158373419394561,9.157520675381956,9.15688786344803,9.156288502245559,9.169561545339686,9.166051363139918,9.163122734060655,9.162203445031265,9.160586522950375,9.223902816982864,9.222275507545701,9.221207439414579,9.220651769072955,9.220145420549208,9.219869496419358,9.219869496419358
18,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376,10.376
19,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.652,13.820516190779053,13.809905389505605,13.801278690166729,13.791916080923079,13.777578003634416,13.774003351187623,13.768449714365152,13.765434450134162,13.759786717845248,13.755147197428006,13.751777344677814,13.976958366469802,13.958036993096899,13.94295984359954,13.928262829210428,14.041562468579917,14.0212649611435,14.007039947211029,14.000417230897517,14.08564249805924,14.077672818671081,14.132206999465847,14.121983305816563,14.145092348956124,14.141009279083812,14.189919957131114,14.181194901143206,14.178900940971113,14.192445137731665,14.18877472400187,14.204644125564803,14.203860145888171,14.201265524047928,14.21195981809231,14.21009411029261,14.216584581354793,14.206292834140989,14.19770618294985,14.212791813475942,14.239325676409157,14.233343563836105,14.253239197940854,14.250621062795897,14.249258958630422,14.255499149289708,14.25481429173715,14.25481429173715
20,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.617,7.785516190779053,7.774905389505605,7.766278690166728,7.7569160809230775,7.742578003634414,7.739003351187622,7.733449714365151,7.730434450134161,7.724786717845249,7.7201471974280045,7.716777344677813,7.941958366469802,7.923036993096899,7.907959843599541,7.893262829210429,8.006562468579917,7.986264961143499,7.972039947211029,7.9654172308975175,8.05064249805924,8.042672818671079,8.097206999465843,8.086983305816561,8.11009234895612,8.106009279083809,8.15491995713111,8.146194901143202,8.143900940971108,8.157445137731662,8.153774724001867,8.169644125564798,8.168860145888166,8.166265524047922,8.176959818092307,8.175094110292607,8.18158458135479,8.171292834140985,8.162706182949846,8.17779181347594,8.204325676409155,8.198343563836103,8.218239197940852,8.215621062795895,8.21425895863042,8.220499149289706,8.219814291737148,8.219814291737148
21,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65
22,11.987,11.987,12.201344457118545,12.331960237689733,12.467958930354817,12.566454335190983,12.629339335960651,12.767377393479373,12.857326341838702,13.096756746344829,13.530664983922453,13.56412650564425,13.986511212996518,14.278632676158667,14.283952804691078,14.570760023324679,15.068009626805132,15.026395132595654,14.99646501255463,14.958089399496679,14.926889599663989,14.742502682077928,15.320929681076798,15.294344818099427,15.1437932817063,15.124197426748447,15.087493465073434,15.057341756232828,15.035441471327983,14.99372506426916,14.958397241814705,14.930246914136866,14.902806331219523,14.885223511547355,14.859264400374519,14.841071589298338,14.832601592202035,14.820922198675913,14.812947378822393,14.80562970485911,14.796717002920717,14.81141134487899,14.807896990662357,14.80127969120757,14.794560079018952,14.79279338287924,14.801582532296383,14.798766909928014,14.809067187075204,14.808468443541106,14.806486870425646,14.805016366854963,14.80362359478303,14.802734650981412,14.795156271979895,14.788833448874309,14.786848731192956,14.804311088608136,14.800060632668087,14.79733819525779,14.795551350930273,14.808274149991785,14.807398672892841,14.806921599799109,14.806921599799109
23,5.539,6.332608290155402,6.797592125402539,7.224365944797723,7.668727883666177,7.99055163215188,8.196021996021987,8.647047352770896,8.94094642127563,9.290665218753642,9.781598138733559,9.94404973778672,10.41423152358618,10.739409468784324,10.896488487382943,11.20864734683593,11.749850144399415,11.88362264981458,11.9798349724998,12.323577107649966,12.799718758918946,13.096961709714193,13.910832124639875,13.911633939939232,14.076752959405807,14.257028321893975,14.415453951564594,14.549902387843407,14.644290153838636,14.367316449186372,14.551994287574066,14.575987001193456,14.725655230801532,14.494311550280546,14.46537796136877,14.579929352322406,14.700413238387972,14.586098876786505,14.704693233441288,14.629691669176795,14.614986718937356,14.583416931550682,14.636872631666089,14.569301917564498,14.615848389963801,14.612914379742294,14.594077779884925,14.614078113304993,14.591930564502585,14.596111270378525,14.609947535650036,14.594975806987833,14.604784883857175,14.595683039700901,14.71313752139201,14.701145216132522,14.667745932892348,14.62995373696271,14.62291613720621,14.578863177664491,14.591753285752876,14.606423370304045,14.597554961377766,14.600892945950749,14.600892945950749
24,5.872,8.550427979274485,8.847078209092215,9.595573296362803,11.387440636971784,12.561998062871739,13.197913441631183,14.366051329614661,15.193882703294749,14.973778984218226,14.574895571621687,15.102298567566283,14.679454195033694,14.546756552432589,15.505318608645988,15.165395300625196,14.576056123834684,15.486303418116716,15.148601492798567,15.093405346997423,15.048530267140562,14.999827070127077,14.310384485115879,14.855831249695537,14.829255039330361,14.814825882532578,14.78779939048884,14.916249907711734,14.89520205205062,14.623509349339612,14.80683673311933,14.66224972836606,14.925405543129516,14.69860408143739,14.968155310310506,14.941337658948015,14.928852209161354,14.81727843338634,14.807257057919646,14.736214331966295,14.922200784798333,14.87310207644057,14.868124627928756,14.802153585539232,14.79355450001601,14.806465499983991,14.777665879549758,14.812263866643033,14.778381254599923,14.785607050355594,14.809521200224074,14.795017195146324,14.811932991801575,14.803099676026232,14.793418321289481,14.839560072263119,14.80712187520591,14.750066873558627,14.83890274080013,14.795621003744134,14.81772642585355,14.802832260270609,14.794247710177718,14.80001,14.80001
