,,,,Value,Value,Value
,,,,min,median,max
#Households,Repeat,Demand Profile,Result,,,
100.0,1.0,Actual,Cost Reduction Distance,0.03,0.039999999999999994,0.5700000000000001
500.0,1.0,Preferred,PAR,1.29,1.29,1.29
500.0,1.0,Preferred,Demand Reduction,0.0,0.0,0.0
500.0,1.0,Preferred,Cost Reduction,0.0,0.0,0.0
500.0,1.0,Optimised,PAR,1.09,1.09,1.09
500.0,1.0,Optimised,Demand Reduction,0.16,0.16,0.16
500.0,1.0,Optimised,Cost Reduction,0.08,0.08,0.08
500.0,1.0,Actual,PAR,1.14,1.2,1.34
500.0,1.0,Actual,PAR Distance,0.04999999999999982,0.10999999999999988,0.25
500.0,1.0,Actual,Demand Reduction,-0.03,0.07,0.12
500.0,1.0,Actual,Demand Reduction Distance,0.04000000000000001,0.09,0.19
500.0,1.0,Actual,Cost Reduction,-0.12,0.06,0.06
500.0,1.0,Actual,Cost Reduction Distance,0.020000000000000004,0.020000000000000004,0.2
1000.0,1.0,Preferred,PAR,1.41,1.41,1.41
1000.0,1.0,Preferred,Demand Reduction,0.0,0.0,0.0
1000.0,1.0,Preferred,Cost Reduction,0.0,0.0,0.0
1000.0,1.0,Optimised,PAR,1.07,1.07,1.07
1000.0,1.0,Optimised,Demand Reduction,0.24,0.24,0.24
1000.0,1.0,Optimised,Cost Reduction,0.06,0.06,0.06
1000.0,1.0,Actual,PAR,1.14,1.2,1.27
1000.0,1.0,Actual,PAR Distance,0.06999999999999984,0.1299999999999999,0.19999999999999996
1000.0,1.0,Actual,Demand Reduction,0.1,0.15,0.19
1000.0,1.0,Actual,Demand Reduction Distance,0.04999999999999999,0.09,0.13999999999999999
1000.0,1.0,Actual,Cost Reduction,0.05,0.06,0.06
1000.0,1.0,Actual,Cost Reduction Distance,0.0,0.0,0.009999999999999995
2000.0,1.0,Preferred,PAR,1.23,1.23,1.23
2000.0,1.0,Preferred,Demand Reduction,0.0,0.0,0.0
2000.0,1.0,Preferred,Cost Reduction,0.0,0.0,0.0
2000.0,1.0,Optimised,PAR,1.06,1.06,1.06
2000.0,1.0,Optimised,Demand Reduction,0.14,0.14,0.14
2000.0,1.0,Optimised,Cost Reduction,0.1,0.1,0.1
2000.0,1.0,Actual,PAR,1.08,1.12,1.18
2000.0,1.0,Actual,PAR Distance,0.020000000000000018,0.06000000000000005,0.11999999999999988
2000.0,1.0,Actual,Demand Reduction,0.04,0.09,0.12
2000.0,1.0,Actual,Demand Reduction Distance,0.020000000000000018,0.05000000000000002,0.1
2000.0,1.0,Actual,Cost Reduction,0.08,0.09,0.09
2000.0,1.0,Actual,Cost Reduction Distance,0.010000000000000009,0.010000000000000009,0.020000000000000004
4000.0,1.0,Preferred,PAR,1.19,1.19,1.19
4000.0,1.0,Preferred,Demand Reduction,0.0,0.0,0.0
4000.0,1.0,Preferred,Cost Reduction,0.0,0.0,0.0
4000.0,1.0,Optimised,PAR,1.04,1.04,1.04
4000.0,1.0,Optimised,Demand Reduction,0.13,0.13,0.13
4000.0,1.0,Optimised,Cost Reduction,0.13,0.13,0.13
4000.0,1.0,Actual,PAR,1.06,1.08,1.1
4000.0,1.0,Actual,PAR Distance,0.020000000000000018,0.040000000000000036,0.06000000000000005
4000.0,1.0,Actual,Demand Reduction,0.08,0.09,0.12
4000.0,1.0,Actual,Demand Reduction Distance,0.010000000000000009,0.04000000000000001,0.05
4000.0,1.0,Actual,Cost Reduction,0.12,0.12,0.13
4000.0,1.0,Actual,Cost Reduction Distance,0.0,0.010000000000000009,0.010000000000000009
6000.0,1.0,Preferred,PAR,1.21,1.21,1.21
6000.0,1.0,Preferred,Demand Reduction,0.0,0.0,0.0
6000.0,1.0,Preferred,Cost Reduction,0.0,0.0,0.0
6000.0,1.0,Optimised,PAR,1.05,1.05,1.05
6000.0,1.0,Optimised,Demand Reduction,0.14,0.14,0.14
6000.0,1.0,Optimised,Cost Reduction,0.13,0.13,0.13
6000.0,1.0,Actual,PAR,1.05,1.05,1.08
6000.0,1.0,Actual,PAR Distance,0.0,0.0,0.030000000000000027
6000.0,1.0,Actual,Demand Reduction,0.11,0.13,0.14
6000.0,1.0,Actual,Demand Reduction Distance,0.0,0.010000000000000009,0.030000000000000013
6000.0,1.0,Actual,Cost Reduction,0.12,0.12,0.12
6000.0,1.0,Actual,Cost Reduction Distance,0.010000000000000009,0.010000000000000009,0.010000000000000009
8000.0,1.0,Preferred,PAR,1.15,1.15,1.15
8000.0,1.0,Preferred,Demand Reduction,0.0,0.0,0.0
8000.0,1.0,Preferred,Cost Reduction,0.0,0.0,0.0
8000.0,1.0,Optimised,PAR,1.03,1.03,1.03
8000.0,1.0,Optimised,Demand Reduction,0.1,0.1,0.1
8000.0,1.0,Optimised,Cost Reduction,0.15,0.15,0.15
8000.0,1.0,Actual,PAR,1.04,1.05,1.06
8000.0,1.0,Actual,PAR Distance,0.010000000000000009,0.020000000000000018,0.030000000000000027
8000.0,1.0,Actual,Demand Reduction,0.08,0.09,0.1
8000.0,1.0,Actual,Demand Reduction Distance,0.0,0.010000000000000009,0.020000000000000004
8000.0,1.0,Actual,Cost Reduction,0.14,0.14,0.15
8000.0,1.0,Actual,Cost Reduction Distance,0.0,0.009999999999999981,0.009999999999999981
10000.0,1.0,Preferred,PAR,1.17,1.17,1.17
10000.0,1.0,Preferred,Demand Reduction,0.0,0.0,0.0
10000.0,1.0,Preferred,Cost Reduction,0.0,0.0,0.0
10000.0,1.0,Optimised,PAR,1.03,1.03,1.03
10000.0,1.0,Optimised,Demand Reduction,0.12,0.12,0.12
10000.0,1.0,Optimised,Cost Reduction,0.13,0.13,0.13
10000.0,1.0,Actual,PAR,1.04,1.04,1.06
10000.0,1.0,Actual,PAR Distance,0.010000000000000009,0.010000000000000009,0.030000000000000027
10000.0,1.0,Actual,Demand Reduction,0.1,0.11,0.11
10000.0,1.0,Actual,Demand Reduction Distance,0.009999999999999995,0.009999999999999995,0.01999999999999999
10000.0,1.0,Actual,Cost Reduction,0.13,0.13,0.13
10000.0,1.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
50.0,2.0,Preferred,PAR,2.29,2.29,2.29
50.0,2.0,Preferred,Demand Reduction,0.0,0.0,0.0
50.0,2.0,Preferred,Cost Reduction,0.0,0.0,0.0
50.0,2.0,Optimised,PAR,1.18,1.18,1.18
50.0,2.0,Optimised,Demand Reduction,0.48,0.48,0.48
50.0,2.0,Optimised,Cost Reduction,0.07,0.07,0.07
50.0,2.0,Actual,PAR,1.95,2.14,2.47
50.0,2.0,Actual,PAR Distance,0.77,0.9600000000000002,1.2900000000000003
50.0,2.0,Actual,Demand Reduction,-0.08,0.06,0.15
50.0,2.0,Actual,Demand Reduction Distance,0.32999999999999996,0.42,0.5599999999999999
50.0,2.0,Actual,Cost Reduction,-0.56,0.03,0.06
50.0,2.0,Actual,Cost Reduction Distance,0.010000000000000009,0.04000000000000001,0.6300000000000001
100.0,2.0,Preferred,PAR,1.69,1.69,1.69
100.0,2.0,Preferred,Demand Reduction,0.0,0.0,0.0
100.0,2.0,Preferred,Cost Reduction,0.0,0.0,0.0
100.0,2.0,Optimised,PAR,1.06,1.06,1.06
100.0,2.0,Optimised,Demand Reduction,0.37,0.37,0.37
100.0,2.0,Optimised,Cost Reduction,0.06,0.06,0.06
100.0,2.0,Actual,PAR,1.51,1.66,1.89
100.0,2.0,Actual,PAR Distance,0.44999999999999996,0.5999999999999999,0.8299999999999998
100.0,2.0,Actual,Demand Reduction,-0.12,0.02,0.11
100.0,2.0,Actual,Demand Reduction Distance,0.26,0.35,0.49
100.0,2.0,Actual,Cost Reduction,-1.25,-0.01,0.04
100.0,2.0,Actual,Cost Reduction Distance,0.019999999999999997,0.06999999999999999,1.31
500.0,2.0,Preferred,PAR,1.32,1.32,1.32
500.0,2.0,Preferred,Demand Reduction,0.0,0.0,0.0
500.0,2.0,Preferred,Cost Reduction,0.0,0.0,0.0
500.0,2.0,Optimised,PAR,1.06,1.06,1.06
500.0,2.0,Optimised,Demand Reduction,0.2,0.2,0.2
500.0,2.0,Optimised,Cost Reduction,0.1,0.1,0.1
500.0,2.0,Actual,PAR,1.2,1.28,1.38
500.0,2.0,Actual,PAR Distance,0.1399999999999999,0.21999999999999997,0.31999999999999984
500.0,2.0,Actual,Demand Reduction,-0.04,0.03,0.09
500.0,2.0,Actual,Demand Reduction Distance,0.11000000000000001,0.17,0.24000000000000002
500.0,2.0,Actual,Cost Reduction,-0.13,0.07,0.08
500.0,2.0,Actual,Cost Reduction Distance,0.020000000000000004,0.03,0.23
1000.0,2.0,Preferred,PAR,1.3,1.3,1.3
1000.0,2.0,Preferred,Demand Reduction,0.0,0.0,0.0
1000.0,2.0,Preferred,Cost Reduction,0.0,0.0,0.0
1000.0,2.0,Optimised,PAR,1.04,1.04,1.04
1000.0,2.0,Optimised,Demand Reduction,0.2,0.2,0.2
1000.0,2.0,Optimised,Cost Reduction,0.12,0.12,0.12
1000.0,2.0,Actual,PAR,1.1,1.2,1.25
1000.0,2.0,Actual,PAR Distance,0.06000000000000005,0.15999999999999992,0.20999999999999996
1000.0,2.0,Actual,Demand Reduction,0.04,0.08,0.15
1000.0,2.0,Actual,Demand Reduction Distance,0.05000000000000002,0.12000000000000001,0.16
1000.0,2.0,Actual,Cost Reduction,0.1,0.1,0.11
1000.0,2.0,Actual,Cost Reduction Distance,0.009999999999999995,0.01999999999999999,0.01999999999999999
2000.0,2.0,Preferred,PAR,1.19,1.19,1.19
2000.0,2.0,Preferred,Demand Reduction,0.0,0.0,0.0
2000.0,2.0,Preferred,Cost Reduction,0.0,0.0,0.0
2000.0,2.0,Optimised,PAR,1.03,1.03,1.03
2000.0,2.0,Optimised,Demand Reduction,0.14,0.14,0.14
2000.0,2.0,Optimised,Cost Reduction,0.15,0.15,0.15
2000.0,2.0,Actual,PAR,1.07,1.11,1.17
2000.0,2.0,Actual,PAR Distance,0.040000000000000036,0.08000000000000007,0.1399999999999999
2000.0,2.0,Actual,Demand Reduction,0.02,0.07,0.1
2000.0,2.0,Actual,Demand Reduction Distance,0.04000000000000001,0.07,0.12000000000000001
2000.0,2.0,Actual,Cost Reduction,0.12,0.14,0.15
2000.0,2.0,Actual,Cost Reduction Distance,0.0,0.009999999999999981,0.03
4000.0,2.0,Preferred,PAR,1.26,1.26,1.26
4000.0,2.0,Preferred,Demand Reduction,0.0,0.0,0.0
4000.0,2.0,Preferred,Cost Reduction,0.0,0.0,0.0
4000.0,2.0,Optimised,PAR,1.05,1.05,1.05
4000.0,2.0,Optimised,Demand Reduction,0.17,0.17,0.17
4000.0,2.0,Optimised,Cost Reduction,0.1,0.1,0.1
4000.0,2.0,Actual,PAR,1.07,1.08,1.09
4000.0,2.0,Actual,PAR Distance,0.020000000000000018,0.030000000000000027,0.040000000000000036
4000.0,2.0,Actual,Demand Reduction,0.13,0.14,0.15
4000.0,2.0,Actual,Demand Reduction Distance,0.020000000000000018,0.03,0.04000000000000001
4000.0,2.0,Actual,Cost Reduction,0.1,0.1,0.1
4000.0,2.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
6000.0,2.0,Preferred,PAR,1.25,1.25,1.25
6000.0,2.0,Preferred,Demand Reduction,0.0,0.0,0.0
6000.0,2.0,Preferred,Cost Reduction,0.0,0.0,0.0
6000.0,2.0,Optimised,PAR,1.1,1.1,1.1
6000.0,2.0,Optimised,Demand Reduction,0.12,0.12,0.12
6000.0,2.0,Optimised,Cost Reduction,0.08,0.08,0.08
6000.0,2.0,Actual,PAR,1.09,1.11,1.13
6000.0,2.0,Actual,PAR Distance,0.010000000000000009,0.010000000000000009,0.029999999999999805
6000.0,2.0,Actual,Demand Reduction,0.1,0.11,0.13
6000.0,2.0,Actual,Demand Reduction Distance,0.0,0.009999999999999995,0.01999999999999999
6000.0,2.0,Actual,Cost Reduction,0.08,0.08,0.08
6000.0,2.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
8000.0,2.0,Preferred,PAR,1.18,1.18,1.18
8000.0,2.0,Preferred,Demand Reduction,0.0,0.0,0.0
8000.0,2.0,Preferred,Cost Reduction,0.0,0.0,0.0
8000.0,2.0,Optimised,PAR,1.06,1.06,1.06
8000.0,2.0,Optimised,Demand Reduction,0.11,0.11,0.11
8000.0,2.0,Optimised,Cost Reduction,0.12,0.12,0.12
8000.0,2.0,Actual,PAR,1.05,1.06,1.07
8000.0,2.0,Actual,PAR Distance,0.0,0.010000000000000009,0.010000000000000009
8000.0,2.0,Actual,Demand Reduction,0.1,0.1,0.11
8000.0,2.0,Actual,Demand Reduction Distance,0.0,0.009999999999999995,0.009999999999999995
8000.0,2.0,Actual,Cost Reduction,0.11,0.12,0.12
8000.0,2.0,Actual,Cost Reduction Distance,0.0,0.0,0.009999999999999995
