,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
26,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.8,14.6,14.6,14.5,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.1,14.2,14.1,14.0,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.1,14.0,14.0
27,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.3,14.2,14.2,14.1,14.1,14.1,14.2,14.3,14.3,14.2,14.4,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1
28,50.9,24.5,20.3,18.9,17.8,17.0,17.0,15.8,15.8,15.4,15.4,15.1,14.8,14.8,14.6,14.5,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.0,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1
29,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.4,15.4,15.4,14.8,14.8,14.6,14.6,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.1,14.1,14.1
30,14.3,14.0,14.0,14.0,14.0,14.0,14.1,14.0,14.1,14.0,15.1,15.1,14.8,14.6,14.6,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1
31,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.8,15.4,15.1,15.1,14.8,14.6,14.6,14.5,14.4,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2
32,14.3,14.0,14.0,14.0,14.1,14.0,15.8,15.4,15.4,15.1,14.8,14.8,14.6,14.6,14.5,14.4,14.3,14.3,14.3,14.2,14.6,14.6,14.6,14.6,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.3,14.3,14.3,14.3
33,14.0,14.0,14.0,14.0,14.0,14.2,14.2,14.1,14.1,14.2,14.2,14.3,14.3,14.2,14.4,14.3,14.8,14.6,14.5,14.5,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
34,14.8,14.3,14.2,14.1,14.0,14.3,14.3,14.2,14.2,14.2,14.3,14.2,14.8,14.8,14.6,14.5,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2
35,14.0,14.0,14.0,14.0,14.2,14.1,14.0,15.8,15.8,15.4,15.4,15.1,14.8,14.6,14.6,14.5,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2
