,0,1,2,3,4,5,6,7,8,9,10,11,12,13
11,1228.316,1211.2320335344675,1195.5832102308607,1190.9218033299608,1275.1139488939573,1267.6441893970216,1295.1505025477065,1385.6147154874834,1380.0844229806162,1371.8300843764277,1372.5297939470215,1377.090659120649,1379.8148771082456,1379.8148771082456
12,1259.035,1241.523167619194,1225.4808589959382,1220.5864592805863,1202.405925665164,1195.2376257788776,1192.536023934015,1234.4405713644448,1229.5111933108712,1222.1539088316736,1221.5719874147371,1221.3984299399017,1221.2942768726195,1221.2942768726195
13,1388.571,1369.260770439343,1351.5738218556028,1346.1775077880475,1326.1302007229026,1318.2313137858407,1438.6096681788458,1434.2982464717352,1428.5714188893357,1420.0401414648877,1415.7842887318802,1408.7195259503726,1404.497604110384,1404.497604110384
14,1260.642,1243.1123775439162,1227.056381507835,1222.157674169258,1203.9673510399314,1196.8065837479298,1339.936408193021,1335.9240579948782,1330.6555271481254,1444.9059884349872,1440.5778215234816,1433.3933557235785,1429.0999139618955,1429.0999139618955
15,1285.081,1267.207635456072,1250.8351563982303,1245.8400626602336,1227.2913938159884,1219.9514587097003,1216.6136819421306,1212.9724375693875,1208.1422671155228,1266.9124206304373,1263.1174698505586,1256.81829345874,1253.0539034791916,1253.0539034791916
16,1490.234,1469.5057943375696,1450.51642123329,1444.7230568402729,1423.2032664228154,1414.685384385609,1399.2014527321078,1395.0080655580753,1389.436437705639,1381.120686723255,1376.9816644460907,1370.110891418331,1366.0049584157364,1366.0049584157364
17,1478.736,1458.1677241933544,1439.3248648660744,1433.5761995939433,1412.222446671808,1403.7702790752433,1388.405804101594,1384.2447595092988,1378.716092386236,1370.4644669747147,1366.3571955847312,1359.5390794820619,1355.464572468326,1355.464572468326
18,1574.364,1552.4655996282947,1532.4041962527538,1526.2837677648358,1503.5490786636658,1494.5503073794262,1478.1922081568696,1473.7620646308312,1467.875853051121,1459.0905867351023,1454.7176907875667,1447.4586349706321,1443.1205999941665,1443.1205999941665
19,1644.095,1621.2266997462352,1600.276758740657,1593.885250960744,1570.1436219962231,1560.746287024266,1543.6637275749617,1539.0374197857739,1532.8909095589506,1523.7165328154263,1519.1499588368642,1511.5693953383832,1507.0392233459856,1507.0392233459856
20,1442.406,1422.347738806512,1403.9698877264238,1398.3640199879646,1377.5405032042938,1374.3145504806077,1359.4098679590234,1355.3629999224445,1435.2260215116746,1426.65088823909,1428.4160622230177,1431.3462706317387,1433.0974444779642,1433.0974444779642
