,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
18,3615.238,3568.5232796535292,3525.9424346197607,3494.3406645719624,3463.021565883741,3418.2802264794086,3391.040666207613,3364.0225820881283,3347.9876860555764,3331.6324721234696,3376.0017813251143,3408.6059911094953,3479.1933937627023,3465.2980925173306,3465.2980925173306
19,3410.382,3366.3127686641933,3326.1413651073663,3296.327751133893,3266.7808869079713,3224.5683309082024,3198.8723033289593,3173.3818832640723,3158.0552078672195,3142.510530867223,3185.1168586573435,3207.4803380353196,3385.9823204704726,3372.476946140246,3372.476946140246
20,3585.415,3539.083270344843,3496.847109549934,3465.5011056571852,3434.4361168647015,3390.052008412503,3363.0267148263806,3336.21769748607,3319.5729168660823,3303.04328106044,3294.3372540156543,3281.580528042433,3329.4835754503993,3316.2060140958806,3316.2060140958806
21,3708.933,3661.005109666282,3617.3138710757016,3584.887984064507,3552.75275646009,3506.839570845458,3478.8828974812805,3451.1490883087235,3433.9278597839043,3416.789536022704,3392.9437121730334,3379.3924771244288,3365.8965120419475,3352.4583520398824,3352.4583520398824
22,3654.364,3607.181066490751,3564.2059651253207,3532.317348602137,3500.997194984398,3475.2148983023435,3691.1613442701887,3661.7719906249235,3643.4999862428404,3625.3155168376607,3600.014843493075,3585.636932966268,3571.316519763674,3557.0571925085737,3557.0571925085737
23,3209.596,3168.165395941371,3130.508393671937,3102.5195352480773,3075.3854278447666,3065.7414934549215,3378.622418823555,3444.2591182602287,3427.0722757448266,3409.9678138900435,3386.169975945547,3372.6460308727583,3359.1762163167887,3345.7616141314365,3345.7616141314365
24,3220.957,3179.435552275808,3141.6576664312697,3113.617262080096,3086.2181250216645,3075.91764051566,3160.283575476885,3543.866870522718,3527.3968791093803,3522.857993065674,3498.271969577894,3484.299881305835,3470.38362956224,3456.522931425732,3456.522931425732
25,3247.592,3205.7264705854896,3167.4753939124566,3139.197013505475,3111.0851981509577,3079.2797768023643,3065.936749270175,3357.4309584353155,3342.697140760854,3478.449545781731,3454.174601941058,3440.709254394714,3427.555744092698,3413.872862550795,3413.872862550795
26,3408.342,3364.2989233696126,3324.15016911512,3294.352647429093,3264.824330822326,3222.6493241209664,3197.4102070094073,3211.811955586384,3197.849718221616,3378.989030356361,3355.413452227669,3350.491539443402,3354.145927133824,3343.645770791561,3343.645770791561
27,3518.833,3473.3617007106313,3431.909982961977,3401.1462153797656,3370.658521569297,3327.0990549459707,3300.5764868078854,3274.5861695411427,3259.865210069018,3284.6300117788332,3261.7188797826743,3260.9036880706108,3273.416200900621,3264.464243229068,3264.464243229068
