,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
22,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968,5.968
23,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84
24,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.711,5.704118,5.699102696,5.691964485464,5.685619835016368,5.677588843265549,5.67346894449738,5.6661939662170075,5.662099341196715,5.65976865239637,5.653973600343327,5.649072603530279,5.646591151459674,5.645861604550915,5.641631448391633,5.638715662181842,5.634963045329841,5.631884080060606,5.6295326302992725,5.629114499778075,5.628906270778519,5.625581270113607,5.624273713602131,5.623181702752507,5.622788975941496,5.621419930278315,5.614670535158833,5.612787453920498,5.611821791927372,5.610779930424243,5.609836351189577,5.608818314975302,5.608399223400426,5.60748183194302,5.60690445911942,5.606494936823823,5.606413441886998,5.605762134351902,5.605439085814495,5.604956451299608,5.602877583565818,5.601865174979463,5.600942792879709,5.6001833649509125,5.599281164571502,5.599132602242359,5.599132602242359
25,9.361,10.005540000000002,9.924327960000001,11.153911965,11.40419241636,11.514909792716642,11.361982197433761,11.575131123167207,12.078796304762513,11.904857341257712,12.046097763678723,12.17244914642261,12.149728570322777,12.035390698939544,11.933763852379842,12.11012565976085,12.035899266947306,11.904829202866887,11.831058155983749,11.789067167332025,11.731960279136747,11.64186378852955,11.596246512758958,11.589435033682404,11.511439807503521,11.485178812315933,11.415080911509508,11.38836664598724,11.343764579775522,11.340233521456419,11.336275054413507,11.273066252672276,11.327509391387535,11.305877788082272,11.302498276929944,11.275317301052924,11.14131508997922,11.255128473089657,11.23429305988567,11.211813543167043,11.203554594192207,11.181443939061898,11.17784171936659,11.157856460453557,11.145278465230382,11.14185707290423,11.141176215831324,11.175734806104675,11.168475866880256,11.157631011678975,11.11091860537532,11.167469663505441,11.218992027543376,11.200412107267942,11.178339161980729,11.176904483656767,11.176904483656767
26,3.658,8.421700000000005,9.043673800000004,11.970464575000005,13.937267975800006,12.890043609639205,13.682968513354822,13.104470150660372,12.556053702826032,13.445778265845167,13.108257139603966,12.717897625438617,13.091420491926337,12.786650251757358,13.214961542190578,12.682113465081049,12.730062401523861,12.814731343849191,12.931986134877565,13.121128370584648,12.666913850649507,13.099775124324825,13.12693962183833,13.0635259841073,13.112332574663546,12.848474260296957,13.218388609707157,12.919897728635357,13.114335978605379,13.072110634690956,13.094082413421575,13.137727776192085,13.000191315101587,13.12182721063547,13.079571901792928,13.098869895167827,13.19400900250608,12.970652813453453,13.092613632505465,13.108998268915398,12.992937287957329,13.125718040501841,13.07287945029933,13.08811577634604,13.164904965911617,13.11187044108206,13.101316570640977,13.016970038075847,13.032334157923543,13.098488152976003,13.248235460998627,13.109262400005644,12.982647251205577,13.093400778693521,13.109775969349199,13.0886724174105,13.0886724174105
27,16.585,12.464499999999996,15.995083,14.456322624999997,13.259075652999996,14.287045903371997,13.413600644232583,13.44331341073249,13.3466811133744,12.773133522118439,13.396601382932767,13.329572131764255,13.011924112074855,13.757020223479786,13.309683454987555,13.223449282238176,13.244011151617746,13.280319605188478,13.30075533663801,13.108387495915165,13.610481833590812,13.168713523914363,13.225039253436076,13.27999901791546,13.290674052288418,13.578032200981209,13.195462138348828,13.51996919847506,13.266199876108608,13.320275076604174,13.297604526450964,13.383601181604535,13.360219366243674,13.235091953214994,13.289291585402134,13.299031503206505,13.34704929798205,13.310046262724427,13.185470753834457,13.219065104788443,13.36829038863577,13.231690903972142,13.28945744945228,13.319108417508305,13.239769658585747,13.297495810292817,13.308983314482525,13.295191447966666,13.305950682174798,13.23802497808175,13.361446328651626,13.338352526379154,13.317312296062605,13.203989173101977,13.237361303024754,13.255656580418705,13.255656580418705
28,11.157,14.659760000000002,13.27341224,14.783860710000003,13.71568208184,14.076022243620162,13.79067166432313,14.111320737778327,13.900496059413854,13.500912311611366,13.518151029951413,13.767488441843213,13.786794765471603,13.633873180087267,13.66515199924395,13.879744399281751,13.895330300501143,13.922852115776589,13.741142404419067,13.753311983543943,13.783570568251553,13.809160886657994,13.862117668924833,13.839286962911284,13.77690691920939,13.793909246229155,13.815791241103595,13.833745086352694,13.750656694452935,13.761482067675121,13.762873103539773,13.8490851642265,13.845288057091555,13.852016888463547,13.862436820909695,13.87076070541696,13.911797456037771,13.830846709460978,13.837734395656907,13.869165582909025,13.897631761497026,13.851544180359062,13.854571459457267,13.883198173403239,13.887214786189416,13.890063712258469,13.89063064854621,13.92316160335784,13.898096956944409,13.901450375202742,13.739094665447471,13.793927434796656,13.843884305579095,13.850015462523304,13.881299276973024,13.873650678419079,13.873650678419079
29,25.561,18.710651999999996,16.402123847999995,14.409483366999995,14.606428963767996,14.260976362521628,14.729578040782592,14.486811982661896,14.818269759563478,14.641804494951415,14.49979955560792,14.572363972050427,14.569245780833015,14.466407703818861,14.542202211073743,14.538142100520055,14.471259263806013,14.353156559879519,14.472284019643013,14.506092191309083,14.400953227082791,14.403235004453645,14.356390304364572,14.395417962538383,14.551713333849541,14.489445500503301,14.554506798986694,14.484688608615066,14.484167459225535,14.474474789388632,14.474447839809855,14.397217508935938,14.455246681319771,14.477309967825255,14.467644727953953,14.433951701762599,14.267845082639216,14.414701335903795,14.437210621208854,14.408696093754346,14.382871436723049,14.460608979482371,14.44861093458496,14.422347214304526,14.422617783804393,14.410809694885371,14.408459885190485,14.408880206108961,14.409088685284525,14.409400153172816,14.410741749190324,14.411395106450849,14.41199036517344,14.412480461521703,14.384262695983443,14.397216170591477,14.397216170591477
30,18.326,13.528799999999995,14.696719199999997,15.250379299999999,14.4320388872,14.5759799317728,14.58663135661693,14.177878526072849,14.39358084271706,14.64525566878317,14.34705874305089,14.494279569558008,14.444767741610383,14.128298264204357,14.287810930164591,14.309720383656362,14.418159933297641,14.041244096566055,14.165502017765641,14.236230483463626,14.25729057267469,14.41190153091305,14.378183500294789,14.401870399293019,14.133214935317763,14.23803456193482,14.37293742139097,14.382823173592023,14.337573063773,14.345526771517907,14.342287717974871,14.405766510999676,14.30592954635668,14.350150321346756,14.343653720061369,14.39940656798051,14.422268108221875,14.260646477949216,14.305365366691774,14.329612982291474,14.351573239486267,14.399266360612433,14.41890002880937,14.334278128492468,14.36222018159302,14.382039080685056,14.38598304160437,14.417503177271534,14.386737164562447,14.410372741575072,14.36657905029412,14.418051522640297,14.325746904368613,14.365749435324926,14.389272442101026,14.397145897216824,14.397145897216824
31,10.694,16.479048000000002,14.414531952,13.424465458,13.738340774032,13.658970875205569,13.150257943065974,13.662132530026543,13.289389638465163,13.660884701603392,13.624711275853688,13.3608749586471,13.168602459804982,13.395143758952976,13.132900296112762,13.225955281307124,13.265592488711833,13.531584456764953,13.32749450751877,13.28272510089095,13.257409921552638,13.312000344533638,13.103640337642966,13.101182495617108,13.29693110827051,13.331857830563747,13.106208522155145,13.0946666835348,13.545652016497035,13.517445408431048,13.507398517614185,13.282969765050531,13.383213158104875,13.307431813365719,13.280178086112256,13.299971592906687,13.257553581403217,13.462018956193749,13.38537074767562,13.302674298703511,13.227778881417773,13.221373534840758,13.228736667166554,13.220654563827722,13.230967981880926,13.238283141971522,13.23973885882955,13.269772947958915,13.299469856167079,13.307837037030076,13.130677274067295,13.18090046950442,13.298657663870369,13.312611087231664,13.230787754184885,13.229714178676515,13.229714178676515
