,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12,6041.278,5972.4411738778135,5911.550287905736,5887.386740785865,6491.540134646839,6447.937081590122,6410.068078308204,6594.851361052531,6547.538741754779,6523.746081177701,6485.997637121986,6474.051615707256,6515.85306211868,6491.643479810582,6480.485640872889,6488.137134517456,6480.3950032056455,6617.673761439679,6607.518590279951,6594.973161983022,6622.579267213549,6622.579267213549
13,6506.031,6425.591398817337,6354.191992905192,6295.532747117066,6219.7825749585245,6177.89515087382,6228.704570430867,6282.491567207779,6352.07785333341,6330.355225750451,6363.736264654339,6373.835834438504,6726.919934435177,6695.410872866951,6679.29999,6649.392641416364,6625.081173217718,6679.30001,6669.027190102991,6656.377927907584,6666.771508687898,6666.771508687898
14,7155.229,7066.304976201061,6987.375252376171,6922.784825218897,6838.28000024807,6791.926077449663,6749.630122858277,6701.1111177711855,6650.352085765232,6625.668086136848,6586.461938703418,6574.242205279152,6679.30001,6648.001154607507,6632.002915725823,6601.599990000001,6592.715098435858,6690.260867200391,6679.96943486717,6667.267773737909,6668.629120687175,6668.629120687175
15,7496.976,7403.804538971886,7321.104531714492,7253.42724323738,7164.88146937826,7116.31290305919,7071.965756087497,7015.05217748807,6961.902702562504,6936.0257782255185,6894.966467272856,6882.149597482249,6866.778894903644,6834.599990000001,6818.147631574755,6786.856672618962,6761.9852177334815,6729.124610885861,6718.772883972794,6705.996767213734,6701.695566717221,6701.695566717221
16,7273.456,7183.062491945956,7102.828907146827,7037.169740407865,6951.265260102099,6904.145957521638,6861.151772437795,6805.935551295594,6754.372888018214,6729.268150566912,6689.4332286602385,6677.3010487517695,6662.402250151718,6631.284943731299,6615.380935816553,6585.115442712463,6707.824344921354,6675.223638977853,6665.0941869492335,6652.470421303415,6648.270765294933,6648.270765294933
17,6961.758,6875.246214125569,6798.4562895391,6735.621167098903,6653.4088709840335,6608.321660565763,6567.052883105254,6514.242513150302,6464.939817108103,6440.946259715414,6445.756505776686,6596.646397006868,6584.211771199861,6560.354891656365,6549.41083608862,6553.830668148066,6671.562816310754,6639.146412576091,6629.065577189944,6616.941137606733,6612.861547723583,6612.861547723583
18,6973.169,6886.515499077819,6809.598245232009,6746.658886277269,6664.3096016861455,6619.14558346481,6577.753237895021,6524.842895543438,6475.460794510067,6451.5885366606,6413.576095363244,6679.30001,6664.383479312668,6633.191149606457,6617.265202557914,6586.9596955926445,6679.30001,6646.838304465703,6636.70048510287,6631.382961029998,6627.291584213344,6627.291584213344
19,7090.595,7002.474512825398,6924.2581843443295,6860.2511647438,6776.506834795795,6730.572298707134,6688.477187958137,6634.699922893449,6586.373490675697,6564.927740003979,6527.786310787251,6545.836253385451,6533.030645985509,6506.717275788223,6495.7406977261935,6492.726023677422,6579.035866176661,6632.981815386843,6622.848338396139,6642.888518320745,6638.750018622448,6638.750018622448
20,6898.6,6812.868858605913,6736.776176434118,6674.505049273051,6593.046857064933,6548.399260017111,6507.606911411321,6464.902518660065,6459.287218344794,6441.722225884617,6739.887550072835,6728.072687024682,6713.046100989516,6681.588282808864,6665.5038827648,6634.930336660575,6612.970280323398,6606.951073247475,6596.84964876741,6810.629662884708,6806.388143201191,6806.388143201191
21,6664.732,6581.999530623044,6508.649528852829,6448.622829437217,6370.01384446516,6326.983316931994,6287.745860739898,6315.7538716323115,6353.50681799884,6338.761038261674,6601.60001,6589.33027768711,6588.056464169144,6733.641396597678,6717.431654987407,6686.681233695302,6662.247627015685,6646.0408871272975,6635.872044749205,6668.523963958681,6688.207893285268,6688.207893285268
