,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,2665.806,2661.497917514718,2676.35586493698,2691.4522479567568,3525.785744298218,3476.744727797917,3438.6967662689913,3404.6750272511895,3384.3349905342275,3364.080785208622,3333.92280636377,3317.2872966390523,3307.3833013503895,3281.5526186594743,3343.3087414893257,3333.726877519932,3324.2497403457974,3327.5863862533092,3324.277796867056,3349.9657128901194,3346.615925177229,3333.4564132020982,3330.126622788896,3385.2370731661067,3381.8524840929404,3368.3464500985447,3358.262565358941,3354.9098357935823,3352.9750799577887,3352.9750799577887
11,2753.195,2729.9335589356438,2723.3464397534394,2716.6398005895057,3040.1951868191513,3017.5211560398866,3423.752648521873,3389.8930098918017,3369.6479196357773,3349.4808805655616,3319.4527958649614,3302.8891523165817,3293.0039366687197,3263.555281282574,3319.3287467723285,3309.4034534455095,3299.511460675903,3289.700437860644,3286.4498394227835,3364.7087607087774,3361.3442789480687,3348.158249367427,3344.810429118059,3345.7883066889412,3342.4434283822525,3329.128927072138,3330.2343471335453,3330.586175786412,3334.8847716106256,3334.8847716106256
12,3051.666,3019.219497141003,2991.788289026423,2966.9340453823147,2958.3993213829253,2943.3799032880365,3570.1821987283734,3534.942745152642,3513.82674031295,3492.7964170483287,3461.483327206438,3444.2105456962586,3433.888291198612,3403.1067630031866,3392.907744535392,3382.739544284227,3372.633496439954,3362.5260221665944,3359.212571144428,3355.05999532871,3351.7051623333814,3338.5544641778733,3335.2164937136954,3331.9941202199816,3328.6636250997617,3399.7550365734514,3389.568059235784,3386.181508176548,3383.6856966683717,3383.6856966683717
13,3421.81,3384.3611628606736,3350.8122084438323,3317.6581433099245,3292.928617398962,3249.4510279487995,3277.247794701421,3245.133824691814,3225.7908576065556,3206.523714542492,3180.0114745013257,3166.4310701119844,3435.1323793685888,3404.3397707751324,3394.1371438948404,3383.9650883035097,3373.862494370963,3363.7511719545196,3360.8254407825652,3354.108765918441,3350.755548152523,3337.5862643554447,3334.249420091089,3330.9154546709983,3327.586264216327,3403.121034538302,3392.922461809865,3389.531753348055,3387.081605594707,3387.081605594707
14,3655.301,3615.293128634897,3579.3024524624625,3543.6700677826566,3515.420377541158,3466.5232028650066,3428.5830678987268,3394.9494660436653,3374.6732509536428,3354.4800613481693,3324.430933991366,3308.213541557276,3385.7325202487455,3355.383480154771,3345.327668233456,3335.3029316518373,3325.3375888465716,3315.377587724476,3318.6756611367514,3312.0477014521393,3308.763367750687,3360.413210920342,3357.0539807094215,3353.697538728712,3350.3460931899835,3336.97742254239,3326.97705830924,3327.0246342509304,3335.5666916166797,3335.5666916166797
15,3663.539,3623.440995203837,3587.369215998794,3551.6565854523838,3523.342628341142,3474.3352741121926,3436.30861683938,3402.925271275956,3382.6173187906406,3362.3729987534302,3332.2297476154727,3315.6061243877184,3324.4400961505326,3294.665594885954,3284.795644634805,3308.3853522589384,3298.712638367754,3288.8361125660963,3338.83983345353,3332.1662062694563,3328.836350063187,3369.69478591058,3366.3266351246693,3363.1806884895445,3359.819818801055,3346.40187921604,3336.3778852583546,3333.4400053730965,3341.6139993677234,3341.6139993677234
16,3690.61,3650.2158081026882,3613.877581979074,3577.9011470699643,3549.3780385941504,3500.0086596680153,3461.7007950045177,3428.3076219642057,3407.9044995772333,3387.5098108159073,3357.1420489421394,3340.3907348449993,3330.933618065142,3301.077126610964,3291.195366582295,3281.394800585523,3298.2999038048415,3288.4292902906413,3356.9429550003506,3350.2334115403046,3346.8837231287644,3333.7622828067347,3330.4304265239275,3334.5512800974034,3331.2188698173063,3317.9157895955354,3325.2849181829524,3325.6774752647693,3339.442125789505,3339.442125789505
17,3929.699,3886.687797339652,3847.995354729826,3809.6881000211583,3779.3170534117207,3726.749160619952,3685.959277371463,3650.459018784565,3628.718678962424,3607.000725148869,3574.663695252338,3556.826092674272,3546.166284314702,3514.378161274591,3503.845569407874,3493.344543729514,3482.9536429298573,3472.5152693370565,3469.0808060677195,3462.14619149739,3458.684074305893,3445.0516916316806,3441.6066719400487,3438.165086268109,3434.7269531818406,3421.0087678034874,3410.756064042392,3407.34695697835,3406.0981410213717,3406.0981410213717
18,3966.769,3923.352060085318,3884.2946203478373,3845.626002101645,3814.968456526813,3761.905148345963,3720.7308382130936,3684.586796356354,3662.642219058463,3640.7212381644913,3608.081901275833,3590.077561475735,3579.318110418919,3547.2328474853653,3536.601802079224,3526.002617926796,3515.4899637391445,3504.954066772339,3501.4941297055666,3494.4946769232847,3491.000247246361,3477.3524789780195,3473.8751914990416,3470.4013583075425,3466.9310219492354,3453.0842972655246,3442.7355290445785,3439.2928165155336,3435.8535466990184,3435.8535466990184
19,4004.312,3960.4841457680955,3921.057051669581,3882.022459015799,3851.0747588507925,3797.5089150889453,3755.9446750725615,3719.1485446282845,3696.9252763813884,3674.7991047191717,3641.8542481713534,3623.6813590726415,3612.8211824158193,3580.4355503144243,3569.704981389696,3559.006571990766,3548.3658530910543,3537.731397080974,3534.2323866838933,3527.1674661379125,3523.6403036717743,3509.927460870914,3506.4175384100427,3502.9111258716325,3499.4082197457615,3485.4315813039752,3474.9858382704083,3471.510874432138,3468.0393855577054,3468.0393855577054
20,3808.513,3766.8281980654065,3729.328972124367,3692.2030554696125,3662.768606206285,3611.821828073898,3572.3117556249313,3537.1728531702297,3516.002802953585,3494.9594618955916,3463.6270160506256,3446.3435225416574,3436.0148515342644,3405.21419792504,3395.0104039311905,3384.836932976058,3374.71834151769,3364.605020559681,3361.2771005391214,3354.5589091141437,3351.20486120503,3338.0689181030025,3334.7316171848993,3331.3975435677144,3328.068243024147,3336.3941467838267,3326.666108869991,3327.806287761121,3337.59880547336,3337.59880547336
21,3558.898,3519.945953944833,3484.905784393912,3450.214871998493,3422.7109611779974,3375.1055965631845,3338.1891913749364,3305.740914538721,3285.958742209148,3266.3026214168754,3237.0482162105322,3221.051096379376,3232.38588274357,3418.851485662916,3408.6053311945816,3398.3903819636007,3388.2345903832047,3378.080302672676,3374.7348933700036,3367.9910052141568,3364.623867208942,3351.376331611203,3348.1199852795917,3344.859886294312,3341.555293408018,3328.2249604051385,3405.609084784324,3402.2042546995394,3402.70945244484,3402.70945244484
22,3547.003,3508.1806213106843,3473.2565417230503,3438.6803744541503,3411.2674606464925,3363.8204889102462,3327.015813141232,3294.4511746751505,3274.736763184926,3255.258720551747,3226.1473432934367,3210.2504671389243,3220.250358176541,3347.49348174791,3337.46134612972,3327.4592258829925,3317.552701337542,3323.269071050997,3319.999707979946,3313.374564792694,3310.0906572279014,3297.70878289557,3295.3762691126744,3298.2197218435617,3309.844965121718,3306.874085296426,3404.2557524198305,3400.8516656674105,3397.463031001743,3397.463031001743
23,3544.907,3506.1079016759386,3471.2050137472684,3436.6500660947036,3409.253975783317,3361.836929831024,3325.044682943126,3292.3829335796286,3272.7125553243945,3253.3402991634994,3368.4531478902854,3351.649198673965,3341.782852005467,3311.8651965099552,3301.9629128089514,3292.0789146612997,3282.424909361838,3432.607821549546,3429.2106297279965,3422.3557156401703,3418.9333959245305,3405.709754341025,3402.351813586684,3399.0463867730973,3395.662832386324,3382.1071036030885,3372.2306633201483,3371.067747656828,3367.6971169091717,3367.6971169091717
24,3336.763,3300.250554533726,3267.4115455855735,3234.9200201827794,3209.159509120239,3164.5690886799066,3130.049515935885,3099.4147401305772,3081.576443485771,3146.5689219725173,3363.722736519697,3346.938270355141,3336.907762742038,3306.996293264564,3297.0972610196714,3287.222363720469,3295.0069738268653,3334.1179178743328,3330.8385869564586,3324.1805944441326,3325.264725849688,3360.257885443576,3356.898250558133,3353.5418043075742,3350.188970503267,3336.8129034502776,3326.9440192067177,3375.634721187511,3372.2595514663235,3372.2595514663235
25,3737.196,3696.291774374209,3659.494746980591,3623.0640384026015,3594.1807692502816,3544.1880042395696,3505.3962829100933,3471.098065162252,3450.32350978246,3429.673314471876,3398.9261818889013,3381.9660901001744,3371.830661019287,3341.6060859680256,3331.5915709048672,3321.6069854373395,3311.822460532212,3302.5740587211117,3299.3718816623905,3293.5220582739476,3294.563999215673,3338.7426479947167,3335.404287346722,3332.0692050593752,3328.7375528543157,3326.645499339545,3325.8006192851158,3375.205411665831,3371.8305622541648,3371.8305622541648
