,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12,3338.279,3282.642351803932,3233.4470394087407,3204.071092301552,3316.0709674805116,3298.729305767863,3319.2513123026456,3303.2645412727184,3387.417147885409,3372.2022573720014,3432.544571405853,3423.603796430109,3419.206266702045,3416.226772660908,3413.533717888247,3438.5036811703585,3438.045314912664,3437.767842625287,3438.4399886988795,3435.9021267101803,3435.946770123887,3436.103927353763,3444.1836074264093,3444.1836074264093
13,3404.653,3344.6092627437984,3291.67675440886,3251.278950920766,3253.0997428189926,3417.876517079143,3373.9047130925496,3357.6417030893726,3445.066052248201,3427.996096056322,3458.0855278937433,3449.482928647243,3445.154404134877,3442.3045009910115,3439.5951204900207,3442.2124953695306,3443.6399877939575,3443.821465232092,3452.050277837093,3449.8955695592563,3450.541623231707,3452.5472696084753,3461.443589338867,3461.443589338867
14,3483.447,3421.64696655841,3367.3061034625903,3323.875138359346,3291.3091825798665,3369.805745410212,3326.264677008509,3310.225968134667,3384.3344144369635,3367.507799265176,3443.911550888234,3436.4540786819107,3435.349764957625,3436.167012599475,3433.5845805868757,3431.741309006289,3439.3907558936085,3442.465634696181,3458.488709881423,3456.8834631715417,3459.011437725662,3464.024742287936,3460.5770525456483,3460.5770525456483
15,3647.902,3582.794927449361,3525.8946111808395,3480.3285078226713,3445.681440528109,3404.9235933408154,3363.08170404106,3346.8549365256445,3416.994964186731,3400.013631011792,3403.455046061251,3401.27663079134,3406.989359736388,3411.257188035275,3408.7454628472397,3406.4828293843925,3423.343078334367,3440.9597496776987,3458.4543205170926,3456.898551196575,3459.2565704947333,3465.0064419242385,3461.5692284823144,3461.5692284823144
16,3517.505,3454.7257284531743,3399.8645103406634,3355.9284596481484,3322.521561836159,3283.2247242214876,3506.3035342891303,3488.8070446075203,3465.4701144799974,3448.1774837715648,3435.983891474536,3436.660222018456,3441.5172658376414,3445.163667193232,3442.530626526039,3440.2568958995134,3454.963039834271,3479.1897678275445,3472.2656580786575,3468.793424420579,3461.859338349162,3458.397526010813,3472.0150284848023,3472.0150284848023
17,3530.083,3467.0800596613035,3412.0189352909074,3367.9290275256135,3334.408755156164,3294.82934871913,3613.350547477963,3595.319892130605,3570.2292851192833,3552.413875162233,3538.2255359147475,3527.621506409397,3520.569807010085,3513.532207955872,3510.9156477479155,3507.404742100168,3472.484727857266,3462.0781042385324,3455.18594183516,3454.054282893325,3456.060876528821,3455.342288652292,3474.7876523636396,3474.7876523636396
18,3835.877,3767.4149848103575,3707.5826169268053,3659.66850962589,3623.2360712199525,3580.296342824698,3534.0309259075516,3516.39607626463,3491.8554508186494,3474.4321250801045,3460.5555527926044,3450.1845070974105,3443.294492813723,3443.1258681825884,3440.7160423144055,3438.454211272091,3449.1090807386863,3447.0506113388697,3454.0994719228033,3454.0515744508803,3464.189939583553,3460.7258356439693,3457.4818838083256,3457.4818838083256
19,3675.606,3610.004471639435,3552.672073434789,3506.7601243581435,3471.8499868854383,3430.6501493584,3386.319097670356,3370.4199522869576,3506.461311107243,3488.964178828023,3475.029533507708,3464.615085301829,3457.689677567311,3458.626705463854,3456.04290375839,3453.7405868546316,3465.846764957735,3455.460212143508,3462.9825246814335,3459.519734156752,3471.456905117173,3467.9857592120557,3464.5239184528436,3464.5239184528436
20,3644.715,3579.665450950494,3522.8156137972155,3477.2895467091435,3442.6732503027333,3401.795132321453,3357.838387769167,3368.63399301782,3585.0172483353886,3567.127981423954,3552.8808939472383,3542.2329393222085,3535.1520376655035,3528.0853507012102,3525.421296350509,3521.8958820541584,3486.831562533166,3476.3824059717167,3469.557387376179,3466.087941988803,3459.1593941117676,3463.0450987176555,3459.592135618938,3459.592135618938
21,3654.631,3589.40395445072,3532.398819561159,3486.7489836155787,3452.0384178304175,3411.1042547550255,3367.0337149763877,3482.90312572534,3460.8939215386135,3443.6245352595174,3429.8747909307476,3421.931809837018,3415.097363150154,3410.2349968232165,3407.906237826393,3406.2649065885666,3427.718755421126,3431.3293901118777,3431.239202448044,3429.603191245596,3430.6341431292963,3434.9870629861666,3435.4844799231805,3435.4844799231805
22,3556.037,3492.570605502469,3437.1047789520567,3392.6927605942196,3358.9198598071866,3319.238020715206,3276.412068023675,3534.5593815038746,3509.8915889315203,3492.3772846415623,3479.626609462079,3469.2030801155342,3462.2697243673833,3455.349776623373,3452.9981708467494,3452.114986675903,3497.1270661442136,3486.6481238775036,3479.678596136873,3476.1992775407357,3469.250818952932,3465.781838133979,3462.751393295845,3462.751393295845
23,3751.344,3684.390713982337,3625.876899731838,3579.018697829473,3543.3891877366286,3501.395853491868,3456.1498432173994,3439.9923113961727,3415.98665525541,3398.94587264296,3457.4389923199114,3449.6591343900473,3442.7679134554014,3438.734801193404,3436.4476033922106,3435.9207877888184,3488.7792909173036,3478.323907401809,3471.3709018289123,3467.8996649270834,3460.9675693788945,3457.5066878095154,3457.342862121706,3457.342862121706
24,3711.736,3645.4896301576027,3587.5936728368456,3541.2302155783073,3505.9768644876053,3464.7953951851086,3420.0226049201965,3402.957905441014,3379.210636944936,3362.3499688346255,3580.965116831708,3570.2329817746054,3563.096100037038,3555.973480928064,3553.501799447136,3549.948308647689,3514.6047358552073,3504.0714859232526,3497.066855018892,3493.569897163873,3486.5864688304423,3483.100406361612,3479.69094795525,3479.69094795525
25,3426.009,3364.8836674313043,3311.5369937576997,3268.7790612766134,3236.4467429708593,3646.7578271174157,3599.6333821054095,3581.6711855303843,3556.6890236957365,3539.501822371493,3525.3651098305454,3514.799614044027,3507.773545607553,3500.7615182838836,3498.2956127655993,3494.7973491528337,3460.0030745583126,3449.6341581670968,3465.5814782019206,3462.116010723719,3455.195468704282,3463.457488235578,3460.0152947473425,3460.0152947473425
26,3457.792,3396.1268781764884,3342.203637572565,3299.0798388746853,3266.267417220844,3445.4410649360034,3400.925923462702,3383.966830965523,3367.131522449184,3506.8692347971078,3492.8628609354337,3482.3950081874345,3475.4338464930684,3468.4877275969284,3466.099510869332,3462.6335153584623,3428.1620062982124,3431.414945170735,3448.397729640339,3446.6045839106987,3447.8251081754606,3459.3336650672854,3468.657217402218,3468.657217402218
27,3661.076,3595.7341037743963,3538.628531627351,3492.8984458691593,3458.127298578285,3417.405064796058,3373.2567999261273,3356.5357514821994,3402.717158183822,3484.7282311428444,3470.8117064097273,3460.4116912424765,3453.4945581566826,3457.4035655589278,3455.246662993369,3454.6535073303753,3496.93779614293,3486.457718822035,3480.0680058391094,3476.5880108332703,3469.6384473316148,3466.170007884283,3462.710921876399,3462.710921876399
28,3699.264,3633.240245928511,3575.538811864184,3529.331272113882,3494.196446116585,3452.9193051692423,3408.3971567129533,3391.3949793055576,3375.4770080678204,3447.2156921103037,3436.0198730721913,3428.4494579175966,3421.6058105372194,3425.9712830879557,3423.815403804868,3423.741480401063,3465.7332290481763,3455.3465130050154,3455.682605848518,3456.38357824267,3467.421921153763,3463.9545932326087,3460.491059639376,3460.491059639376
29,3865.302,3796.314812914346,3736.02347113122,3687.741814868926,3651.0299033463853,3608.0051337063733,3561.670145907534,3543.897446140699,3519.3385749159415,3502.3838454267507,3488.395498060271,3477.944048986282,3484.0334126833586,3477.0699193464043,3474.905684427058,3471.4310077426308,3436.8715813127947,3465.4068113058615,3458.488588525061,3459.133475936536,3468.4051948061383,3464.937153611332,3461.4725284577207,3461.4725284577207
30,3746.718,3679.847295812849,3621.4056857038017,3574.6066751638605,3539.0215452206794,3497.1333471834714,3452.364796048423,3435.13931250346,3411.168202578047,3394.1479461355707,3381.9863839039303,3373.853642917744,3487.3788986085515,3480.407772118233,3478.220411346115,3474.7422629347684,3440.1482165634193,3460.5735599466393,3453.656021326306,3454.596018304979,3458.949662357388,3465.621509695031,3462.1563511853356,3462.1563511853356
31,3850.047,3781.3320991486885,3721.2787218791354,3673.3747838387994,3636.805907786314,3593.662977385988,3548.1590108516416,3530.453691863699,3505.81462283325,3488.3206177347806,3474.389453432957,3463.9769655057157,3469.5230191606697,3462.5875945693674,3460.373932974798,3456.913635041823,3451.3230827672346,3461.2934964549777,3454.374996442564,3457.655169446122,3468.666144865399,3465.198630720534,3461.7340170898133,3461.7340170898133
32,3879.273,3810.036461119642,3749.5271983730167,3701.1660158053555,3664.3204747095238,3621.016270435229,3575.1693943516593,3557.329378110253,3532.503315006647,3514.8767069186288,3500.8383551752836,3490.3466987641054,3483.370709106276,3476.408616475773,3474.1423868592974,3470.6687454724383,3436.1207114457134,3457.218520430151,3461.760601212811,3458.298877611598,3479.5354902382524,3476.0564637480147,3472.5810422842665,3472.5810422842665
33,3733.335,3666.703242332605,3608.4705547878443,3561.869065264796,3526.410938856398,3485.3867497452347,3441.7410236989786,3424.5731486834293,3408.5511328103394,3424.8335347613024,3413.8250191631796,3416.1434211573214,3421.281378051428,3423.9882032057035,3421.9106470024976,3421.988053355495,3459.389142656069,3491.562595315744,3484.583917209708,3481.0994032924987,3474.1408035263166,3470.6676687227905,3467.198028054068,3467.198028054068
34,3622.78,3558.139255106081,3501.677486597474,3456.5858111736666,3422.1901673646303,3382.0298459395453,3339.8780252853308,3323.268347749936,3377.603342881749,3465.943389306076,3452.1022587547436,3452.935160521167,3455.172303069285,3457.3634083624497,3455.1982219540873,3455.0464837321333,3501.7222842731876,3491.2276460585076,3484.2488599050366,3480.764757045132,3473.8069021987985,3470.3424482965997,3466.876073848303,3466.876073848303
